,illumination,date,dist_to_moon,feels_like_19-1,pressure_19-1,rain_1h_19-1,weather_id_19-1,feels_like_07,pressure_07,rain_1h_07,weather_id_07,open_d-1,high_d-1,low_d-1,close_d-1,result,daily_policy_index_d-1
144,94.89,2001-08-02,399173.88 ,15.82,1021.0,0.0,802.0,16.22,1014,0.5,500,"5,529.10","5,549.00","5,499.50","5,546.90","5,584.50",286.85
145,98.29,2001-08-03,402043.20 ,16.29,1007.0,0.0,801.0,15.55,1009,0.0,721,"5,546.90","5,644.20","5,533.80","5,584.50","5,547.60",385.73
146,97.59,2001-08-06,405474.00 ,16.0,1015.0,0.0,804.0,16.4,1011,0.0,802,"5,584.50","5,590.20","5,511.10","5,547.60","5,526.40",129.21
147,93.83,2001-08-07,404765.11 ,15.67,1009.0,0.0,803.0,14.28,1008,0.0,802,"5,547.60","5,561.20","5,516.00","5,526.40","5,536.80",166.85
148,88.48,2001-08-08,403132.09 ,13.84,1000.0,0.0,804.0,12.49,1001,0.0,802,"5,526.40","5,546.60","5,448.20","5,536.80","5,476.50",266.17
149,81.69,2001-08-09,400618.03 ,13.48,1006.0,0.0,802.0,13.68,1010,0.0,804,"5,536.80","5,536.80","5,434.30","5,476.50","5,402.90",288.12
150,73.65,2001-08-10,397301.03 ,10.42,1015.0,0.0,802.0,9.12,1023,0.0,801,"5,476.50","5,476.50","5,376.70","5,402.90","5,427.20",320.14
151,44.39,2001-08-13,383962.34 ,16.16,1014.0,0.0,801.0,15.42,1013,0.0,804,"5,402.90","5,469.00","5,398.50","5,427.20","5,431.10",157.24
152,33.96,2001-08-14,379090.00 ,20.49,1013.0,0.0,801.0,15.45,1014,0.0,803,"5,427.20","5,465.00","5,410.90","5,431.10","5,507.80",257.84
153,23.93,2001-08-15,374445.82 ,22.42,1012.0,0.0,801.0,22.52,1010,0.0,800,"5,431.10","5,525.60","5,430.60","5,507.80","5,461.60",188.57
154,14.87,2001-08-16,370314.64 ,19.47,1010.0,0.0,801.0,13.98,1011,0.0,802,"5,507.80","5,533.20","5,456.60","5,461.60","5,389.80",318.7
155,7.46,2001-08-17,366962.81 ,15.8,1016.0,0.0,802.0,13.8,1018,0.0,801,"5,461.60","5,462.40","5,389.80","5,389.80","5,342.10",357.69
156,0.91,2001-08-20,363484.24 ,14.89,1004.0,0.0,801.0,14.51,1011,0.0,801,"5,389.80","5,428.90","5,299.60","5,342.10","5,357.50",414.47
157,4.75,2001-08-21,364778.98 ,18.19,1017.0,0.0,801.0,12.98,1018,0.0,803,"5,342.10","5,372.10","5,286.70","5,357.50","5,430.30",334.51
158,11.2,2001-08-22,367220.67 ,18.2,1018.0,0.0,801.0,17.22,1022,0.0,801,"5,357.40","5,435.30","5,353.20","5,430.30","5,408.70",35.28
159,19.65,2001-08-23,370641.80 ,22.42,1021.0,0.0,801.0,18.22,1020,0.0,801,"5,430.30","5,471.60","5,373.00","5,408.70","5,396.50",192.21
