,illumination,date,dist_to_moon,feels_like_19-1,pressure_19-1,rain_1h_19-1,weather_id_19-1,feels_like_07,pressure_07,rain_1h_07,weather_id_07,open_d-1,high_d-1,low_d-1,close_d-1,result
69,57.67,1984-04-10,368758.06 ,6.94,1022.0,0.0,721.0,0.72,1021,0.0,803,"1,096.30","1,096.70","1,092.40","1,096.70","1,105.40"
70,68.66,1984-04-11,365871.90 ,6.28,1018.0,0.0,803.0,2.99,1016,0.0,701,"1,097.90","1,106.60","1,097.90","1,105.40","1,110.60"
71,78.91,1984-04-12,364009.68 ,6.57,1015.0,0.0,803.0,-0.51,1021,0.0,800,"1,108.30","1,111.70","1,108.30","1,110.60","1,117.00"
72,87.76,1984-04-13,363301.86 ,7.23,1023.0,0.0,801.0,1.37,1025,0.0,802,"1,110.60","1,117.60","1,109.70","1,117.00","1,129.10"
73,99.99,1984-04-16,368297.97 ,4.87,1012.0,0.0,801.0,-0.57,1019,0.0,801,"1,127.80","1,132.00","1,127.80","1,129.10","1,105.90"
74,98.38,1984-04-17,372009.94 ,4.46,1025.0,0.0,801.0,-0.85,1031,0.0,801,"1,122.90","1,122.90","1,105.60","1,105.90","1,110.20"
75,94.15,1984-04-18,376408.64 ,6.12,1031.0,0.0,802.0,2.61,1031,0.0,803,"1,105.90","1,112.90","1,104.80","1,110.20","1,116.20"
76,87.78,1984-04-19,381220.94 ,7.75,1027.0,0.0,802.0,4.78,1025,0.0,803,"1,114.20","1,116.90","1,114.20","1,116.20","1,108.40"
77,79.81,1984-04-20,386157.63 ,7.72,1023.0,0.0,801.0,5.17,1024,0.0,803,"1,114.60","1,114.60","1,108.40","1,108.40","1,108.40"
78,51.45,1984-04-23,399064.97 ,11.34,1022.0,0.0,721.0,2.27,1025,0.0,800,"1,108.40","1,108.40","1,108.40","1,108.40","1,108.40"
79,41.83,1984-04-24,402044.71 ,7.26,1026.0,0.0,800.0,2.01,1028,0.0,800,"1,108.40","1,108.40","1,108.40","1,108.40","1,105.40"
80,32.63,1984-04-25,404139.53 ,10.26,1027.0,0.0,800.0,6.64,1028,0.0,800,"1,105.60","1,105.60","1,102.80","1,105.40","1,119.80"
81,24.11,1984-04-26,405284.22 ,10.42,1026.0,0.0,800.0,3.19,1027,0.0,800,"1,112.40","1,121.00","1,112.40","1,119.80","1,130.90"
82,16.52,1984-04-27,405451.44 ,11.16,1025.0,0.0,802.0,3.75,1027,0.0,721,"1,124.70","1,131.50","1,124.70","1,130.90","1,138.20"
83,1.65,1984-04-30,400294.40 ,4.31,1018.0,0.0,803.0,4.9,1015,0.0,802,"1,138.20","1,138.20","1,138.20","1,138.20","1,138.30"
84,0.09,1984-05-01,396914.29 ,5.63,1009.0,0.0,802.0,4.17,1007,0.0,721,"1,138.20","1,138.30","1,134.90","1,138.30","1,136.80"
85,0.51,1984-05-02,392901.81 ,7.33,1006.0,0.0,800.0,3.03,1006,0.0,721,"1,137.20","1,137.20","1,133.10","1,136.80","1,140.10"
86,3.02,1984-05-03,388431.19 ,6.79,1006.0,0.0,802.0,4.18,1008,0.0,721,"1,136.80","1,140.10","1,133.60","1,140.10","1,141.50"
87,7.62,1984-05-04,383711.18 ,8.52,1009.0,0.0,721.0,7.93,1010,0.0,721,"1,140.10","1,142.80","1,137.40","1,141.50","1,134.00"
88,32.34,1984-05-07,370473.23 ,2.42,1021.0,0.0,802.0,-3.13,1024,0.0,802,"1,135.80","1,135.80","1,133.50","1,134.00","1,134.00"
89,43.15,1984-05-08,367186.21 ,3.55,1027.0,0.0,803.0,-2.51,1028,0.0,801,"1,134.00","1,134.00","1,134.00","1,134.00","1,117.60"
90,54.46,1984-05-09,364819.35 ,2.15,1028.0,0.0,802.0,1.18,1027,0.0,802,"1,126.90","1,126.90","1,115.90","1,117.60","1,109.90"
91,65.71,1984-05-10,363522.44 ,9.29,1022.0,0.0,803.0,4.6,1021,0.0,804,"1,117.60","1,120.50","1,109.70","1,109.90","1,094.40"
92,76.27,1984-05-11,363384.13 ,5.41,1019.0,0.17,500.0,0.79,1024,0.0,801,"1,101.30","1,101.30","1,093.50","1,094.40","1,078.70"
93,97.65,1984-05-14,369752.48 ,2.42,1023.0,0.0,800.0,2.85,1017,0.0,804,"1,089.00","1,089.00","1,075.80","1,078.70","1,082.40"
94,99.87,1984-05-15,373729.08 ,8.56,1011.0,0.0,802.0,5.15,1006,0.0,804,"1,078.70","1,083.00","1,073.30","1,082.40","1,094.60"
95,99.39,1984-05-16,378279.83 ,8.8,1001.0,0.0,721.0,8.3,1000,0.0,721,"1,083.60","1,095.00","1,083.60","1,094.60","1,104.50"
96,96.42,1984-05-17,383135.32 ,10.01,1000.0,0.0,803.0,7.32,1002,0.2,310,"1,101.80","1,104.60","1,101.80","1,104.50","1,113.00"
97,91.32,1984-05-18,388016.39 ,9.31,1004.0,0.0,802.0,5.63,1010,0.0,721,"1,113.00","1,120.30","1,113.00","1,113.00","1,104.90"
98,67.64,1984-05-21,400302.79 ,3.95,1000.0,0.25,500.0,5.75,1001,0.0,803,"1,108.80","1,108.80","1,104.90","1,104.90","1,108.70"
99,58.29,1984-05-22,402967.65 ,7.92,1002.0,0.0,721.0,4.79,992,1.7,501,"1,105.90","1,108.70","1,105.90","1,108.70","1,084.60"
100,48.78,1984-05-23,404709.85 ,4.06,996.0,0.0,300.0,5.57,1006,0.0,802,"1,105.70","1,105.70","1,084.50","1,084.60","1,075.40"
101,39.38,1984-05-24,405470.85 ,13.09,1008.0,0.0,804.0,9.83,1008,0.0,721,"1,084.60","1,089.30","1,072.00","1,075.40","1,051.60"
102,30.36,1984-05-25,405229.81 ,13.12,1007.0,0.0,802.0,6.09,1007,0.0,803,"1,074.60","1,074.60","1,051.60","1,051.60","1,055.50"
103,8.29,1984-05-28,398805.51 ,6.56,1007.0,0.0,721.0,3.57,1011,0.11,500,"1,051.60","1,057.10","1,042.90","1,055.50","1,055.50"
104,3.61,1984-05-29,395048.60 ,6.61,1014.0,0.0,300.0,3.84,1014,0.0,804,"1,055.50","1,055.50","1,055.50","1,055.50","1,056.10"
105,0.76,1984-05-30,390725.36 ,12.35,1013.0,0.0,801.0,8.45,1014,0.0,801,"1,055.90","1,062.10","1,055.90","1,056.10","1,026.60"
106,0.03,1984-05-31,386040.15 ,15.62,1013.0,0.0,804.0,10.21,1011,0.0,721,"1,052.30","1,052.30","1,026.20","1,026.60","1,021.00"
107,1.6,1984-06-01,381229.23 ,11.16,1008.0,0.0,800.0,7.72,1006,1.05,501,"1,026.60","1,037.80","1,008.20","1,021.00","1,055.80"
108,19.93,1984-06-04,368598.56 ,8.93,1005.0,0.0,802.0,8.34,1006,0.0,801,"1,026.80","1,055.80","1,026.80","1,055.80","1,078.00"
109,29.74,1984-06-05,365786.22 ,11.2,1005.0,0.0,804.0,4.87,1005,0.0,801,"1,067.40","1,078.00","1,067.40","1,078.00","1,077.80"
110,40.64,1984-06-06,363985.01 ,9.54,1008.0,0.0,803.0,8.73,1011,0.0,801,"1,078.00","1,079.90","1,069.50","1,077.80","1,087.90"
111,52.06,1984-06-07,363302.04 ,12.07,1012.0,0.0,804.0,7.77,1009,0.0,701,"1,080.00","1,088.20","1,080.00","1,087.90","1,072.00"
112,63.39,1984-06-08,363779.16 ,15.31,1011.0,0.0,802.0,6.19,1015,0.0,721,"1,087.90","1,090.50","1,072.00","1,072.00","1,068.60"
113,90.96,1984-06-11,371578.03 ,20.09,1022.0,0.0,803.0,9.25,1028,0.0,721,"1,072.00","1,072.80","1,062.30","1,068.60","1,075.90"
114,96.36,1984-06-12,375794.95 ,13.73,1028.0,0.0,721.0,10.65,1027,0.0,721,"1,072.70","1,076.50","1,072.70","1,075.90","1,067.10"
115,99.36,1984-06-13,380449.40 ,12.67,1024.0,0.0,803.0,13.68,1023,0.0,803,"1,067.90","1,067.90","1,062.30","1,067.10","1,064.70"
116,99.91,1984-06-14,385279.71 ,13.77,1021.0,0.0,801.0,13.2,1021,0.0,804,"1,065.10","1,065.10","1,060.80","1,064.70","1,043.80"
117,98.16,1984-06-15,390023.89 ,17.32,1023.0,0.0,803.0,12.9,1026,0.0,803,"1,055.60","1,055.60","1,043.80","1,043.80","1,040.10"
118,81.79,1984-06-18,401457.36 ,18.3,1018.0,0.0,802.0,15.1,1025,0.0,800,"1,040.10","1,040.10","1,027.60","1,040.10","1,042.60"
119,73.75,1984-06-19,403759.35 ,22.56,1027.0,0.0,802.0,18.2,1028,0.0,721,"1,040.10","1,043.20","1,035.00","1,042.60","1,056.00"
120,64.94,1984-06-20,405122.77 ,23.4,1025.0,0.0,721.0,19.04,1021,0.0,721,"1,054.10","1,059.30","1,054.10","1,056.00","1,035.60"
121,55.67,1984-06-21,405496.29 ,20.88,1013.0,0.0,802.0,13.47,1014,0.0,802,"1,055.40","1,055.40","1,033.40","1,035.60","1,041.60"
122,46.2,1984-06-22,404863.95 ,15.88,1015.0,0.0,801.0,8.8,1013,0.0,804,"1,040.60","1,047.10","1,040.60","1,041.60","1,033.10"
123,19.36,1984-06-25,397311.52 ,12.77,1023.0,0.0,804.0,12.32,1021,0.0,803,"1,040.20","1,040.20","1,029.80","1,033.10","1,033.10"
124,12,1984-06-26,393237.83 ,15.73,1022.0,0.0,802.0,12.3,1025,0.0,804,"1,033.10","1,035.20","1,032.40","1,033.10","1,024.30"
125,6.06,1984-06-27,388662.62 ,19.1,1023.0,0.0,800.0,13.39,1023,0.0,800,"1,024.30","1,024.30","1,024.30","1,024.30","1,038.30"
126,1.96,1984-06-28,383816.40 ,14.25,1018.0,0.0,802.0,9.54,1018,0.0,803,"1,024.30","1,038.70","1,024.30","1,038.30","1,029.30"
127,0.08,1984-06-29,378960.15 ,10.09,1019.0,0.0,803.0,8.18,1018,0.0,801,"1,038.30","1,038.90","1,029.30","1,029.30","1,041.40"
128,9.81,1984-07-02,367020.62 ,15.19,1016.0,0.0,802.0,6.86,1017,0.0,802,"1,029.30","1,041.40","1,029.00","1,041.40","1,047.60"
129,17.85,1984-07-03,364698.09 ,10.29,1023.0,0.0,801.0,7.8,1027,0.0,801,"1,041.40","1,047.60","1,041.30","1,047.60","1,050.20"
130,27.61,1984-07-04,363474.86 ,16.75,1026.0,0.0,803.0,9.78,1028,0.0,800,"1,047.60","1,050.20","1,045.10","1,050.20","1,063.30"
131,38.5,1984-07-05,363416.72 ,19.01,1027.0,0.0,803.0,13.31,1027,0.0,721,"1,053.20","1,065.10","1,053.20","1,063.30","1,062.40"
132,49.89,1984-07-06,364518.55 ,22.09,1024.0,0.0,800.0,14.51,1024,0.0,721,"1,062.40","1,062.40","1,062.40","1,062.40","1,042.30"
133,81.12,1984-07-09,373743.01 ,21.18,1010.0,0.0,802.0,14.38,1011,0.0,804,"1,060.70","1,060.70","1,042.30","1,042.30","1,033.50"
134,88.89,1984-07-10,378177.10 ,16.39,1011.0,0.5,500.0,13.5,1012,0.0,802,"1,040.90","1,040.90","1,027.80","1,033.50","1,014.40"
135,94.72,1984-07-11,382897.72 ,14.63,1012.0,0.0,801.0,15.14,1011,0.0,802,"1,030.40","1,030.40","1,014.40","1,014.40","1,001.70"
136,98.43,1984-07-12,387651.40 ,13.07,1009.0,0.0,802.0,11.23,1014,0.0,802,"1,001.70","1,001.70",995.60,"1,001.70",991.40
137,99.95,1984-07-13,392195.91 ,12.45,1012.0,0.0,802.0,10.89,1014,0.0,804,999.20,999.20,978.70,991.40,995.80
138,92.42,1984-07-16,402569.62 ,15.27,1016.0,0.0,802.0,11.32,1021,0.0,802,991.40,998.60,987.80,995.80,"1,003.00"
139,86.54,1984-07-17,404453.11 ,18.61,1021.0,0.0,803.0,10.66,1024,0.0,802,995.80,"1,004.10",992.20,"1,003.00","1,007.80"
140,79.38,1984-07-18,405397.67 ,18.45,1022.0,0.0,803.0,17.71,1023,0.0,804,"1,003.80","1,008.20","1,003.80","1,007.80","1,009.00"
141,71.22,1984-07-19,405362.97 ,16.66,1023.0,0.0,802.0,9.72,1024,0.0,804,"1,007.80","1,010.20","1,006.80","1,009.00","1,003.00"
142,62.3,1984-07-20,404340.37 ,14.06,1024.0,0.0,801.0,12.5,1024,0.0,804,"1,003.00","1,003.00",996.90,"1,003.00","1,009.80"
143,33.61,1984-07-23,395790.07 ,19.97,1020.0,0.0,802.0,16.06,1021,0.0,721,"1,008.10","1,012.40","1,008.10","1,009.80",986.90
