illumination,Date,Text1
48.78% Visible,Moon phase details at 23 May 1984,"404,709.85 km"
39.38% Visible,Moon phase details at 24 May 1984,"405,470.85 km"
30.36% Visible,Moon phase details at 25 May 1984,"405,229.81 km"
21.98% Visible,Moon phase details at 26 May 1984,"404,000.45 km"
14.52% Visible,Moon phase details at 27 May 1984,"401,830.84 km"
8.29% Visible,Moon phase details at 28 May 1984,"398,805.51 km"
3.61% Visible,Moon phase details at 29 May 1984,"395,048.60 km"
0.76% Visible,Moon phase details at 30 May 1984,"390,725.36 km"
0.03% Visible,Moon phase details at 31 May 1984,"386,040.15 km"
1.6% Visible,Moon phase details at 1 June 1984,"381,229.23 km"
5.53% Visible,Moon phase details at 2 June 1984,"376,548.39 km"
11.73% Visible,Moon phase details at 3 June 1984,"372,256.71 km"
19.93% Visible,Moon phase details at 4 June 1984,"368,598.56 km"
29.74% Visible,Moon phase details at 5 June 1984,"365,786.22 km"
40.64% Visible,Moon phase details at 6 June 1984,"363,985.01 km"
52.06% Visible,Moon phase details at 7 June 1984,"363,302.04 km"
63.39% Visible,Moon phase details at 8 June 1984,"363,779.16 km"
74.03% Visible,Moon phase details at 9 June 1984,"365,389.97 km"
83.39% Visible,Moon phase details at 10 June 1984,"368,041.12 km"
90.96% Visible,Moon phase details at 11 June 1984,"371,578.03 km"
96.36% Visible,Moon phase details at 12 June 1984,"375,794.95 km"
99.36% Visible,Moon phase details at 13 June 1984,"380,449.40 km"
99.91% Visible,Moon phase details at 14 June 1984,"385,279.71 km"
98.16% Visible,Moon phase details at 15 June 1984,"390,023.89 km"
94.33% Visible,Moon phase details at 16 June 1984,"394,437.26 km"
88.76% Visible,Moon phase details at 17 June 1984,"398,306.32 km"
81.79% Visible,Moon phase details at 18 June 1984,"401,457.36 km"
73.75% Visible,Moon phase details at 19 June 1984,"403,759.35 km"
64.94% Visible,Moon phase details at 20 June 1984,"405,122.77 km"
55.67% Visible,Moon phase details at 21 June 1984,"405,496.29 km"
46.2% Visible,Moon phase details at 22 June 1984,"404,863.95 km"
36.8% Visible,Moon phase details at 23 June 1984,"403,244.73 km"
27.74% Visible,Moon phase details at 24 June 1984,"400,694.75 km"
19.36% Visible,Moon phase details at 25 June 1984,"397,311.52 km"
12% Visible,Moon phase details at 26 June 1984,"393,237.83 km"
6.06% Visible,Moon phase details at 27 June 1984,"388,662.62 km"
1.96% Visible,Moon phase details at 28 June 1984,"383,816.40 km"
0.08% Visible,Moon phase details at 29 June 1984,"378,960.15 km"
0.72% Visible,Moon phase details at 30 June 1984,"374,368.36 km"
4% Visible,Moon phase details at 1 July 1984,"370,308.60 km"
9.81% Visible,Moon phase details at 2 July 1984,"367,020.62 km"
17.85% Visible,Moon phase details at 3 July 1984,"364,698.09 km"
27.61% Visible,Moon phase details at 4 July 1984,"363,474.86 km"
38.5% Visible,Moon phase details at 5 July 1984,"363,416.72 km"
49.89% Visible,Moon phase details at 6 July 1984,"364,518.55 km"
61.16% Visible,Moon phase details at 7 July 1984,"366,706.39 km"
71.74% Visible,Moon phase details at 8 July 1984,"369,843.96 km"
81.12% Visible,Moon phase details at 9 July 1984,"373,743.01 km"
88.89% Visible,Moon phase details at 10 July 1984,"378,177.10 km"
94.72% Visible,Moon phase details at 11 July 1984,"382,897.72 km"
98.43% Visible,Moon phase details at 12 July 1984,"387,651.40 km"
99.95% Visible,Moon phase details at 13 July 1984,"392,195.91 km"
99.35% Visible,Moon phase details at 14 July 1984,"396,313.57 km"
96.77% Visible,Moon phase details at 15 July 1984,"399,820.27 km"
92.42% Visible,Moon phase details at 16 July 1984,"402,569.62 km"
86.54% Visible,Moon phase details at 17 July 1984,"404,453.11 km"
79.38% Visible,Moon phase details at 18 July 1984,"405,397.67 km"
71.22% Visible,Moon phase details at 19 July 1984,"405,362.97 km"
62.3% Visible,Moon phase details at 20 July 1984,"404,340.37 km"
52.87% Visible,Moon phase details at 21 July 1984,"402,354.71 km"
43.21% Visible,Moon phase details at 22 July 1984,"399,468.93 km"
33.61% Visible,Moon phase details at 23 July 1984,"395,790.07 km"
24.4% Visible,Moon phase details at 24 July 1984,"391,474.09 km"
15.99% Visible,Moon phase details at 25 July 1984,"386,726.38 km"
8.86% Visible,Moon phase details at 26 July 1984,"381,795.64 km"
3.54% Visible,Moon phase details at 27 July 1984,"376,960.03 km"
0.53% Visible,Moon phase details at 28 July 1984,"372,506.95 km"
0.22% Visible,Moon phase details at 29 July 1984,"368,709.31 km"
2.78% Visible,Moon phase details at 30 July 1984,"365,802.15 km"
8.12% Visible,Moon phase details at 31 July 1984,"363,963.09 km"
15.85% Visible,Moon phase details at 1 August 1984,"363,298.89 km"
25.4% Visible,Moon phase details at 2 August 1984,"363,838.91 km"
36.12% Visible,Moon phase details at 3 August 1984,"365,535.42 km"
47.33% Visible,Moon phase details at 4 August 1984,"368,269.91 km"
58.42% Visible,Moon phase details at 5 August 1984,"371,864.52 km"
68.88% Visible,Moon phase details at 6 August 1984,"376,097.27 km"
78.26% Visible,Moon phase details at 7 August 1984,"380,719.84 km"
86.23% Visible,Moon phase details at 8 August 1984,"385,476.07 km"
92.51% Visible,Moon phase details at 9 August 1984,"390,119.16 km"
96.93% Visible,Moon phase details at 10 August 1984,"394,425.57 km"
99.42% Visible,Moon phase details at 11 August 1984,"398,204.42 km"
99.95% Visible,Moon phase details at 12 August 1984,"401,301.87 km"
98.59% Visible,Moon phase details at 13 August 1984,"403,601.08 km"
95.44% Visible,Moon phase details at 14 August 1984,"405,019.40 km"
90.67% Visible,Moon phase details at 15 August 1984,"405,504.58 km"
84.45% Visible,Moon phase details at 16 August 1984,"405,032.32 km"
76.99% Visible,Moon phase details at 17 August 1984,"403,606.29 km"
68.5% Visible,Moon phase details at 18 August 1984,"401,261.49 km"
59.23% Visible,Moon phase details at 19 August 1984,"398,070.23 km"
49.43% Visible,Moon phase details at 20 August 1984,"394,149.04 km"
39.38% Visible,Moon phase details at 21 August 1984,"389,663.61 km"
29.47% Visible,Moon phase details at 22 August 1984,"384,829.03 km"
20.13% Visible,Moon phase details at 23 August 1984,"379,902.66 km"
11.92% Visible,Moon phase details at 24 August 1984,"375,169.10 km"
5.45% Visible,Moon phase details at 25 August 1984,"370,918.64 km"
1.32% Visible,Moon phase details at 26 August 1984,"367,422.11 km"
0.01% Visible,Moon phase details at 27 August 1984,"364,906.37 km"
1.73% Visible,Moon phase details at 28 August 1984,"363,533.82 km"
6.39% Visible,Moon phase details at 29 August 1984,"363,388.70 km"
13.58% Visible,Moon phase details at 30 August 1984,"364,470.99 km"
22.68% Visible,Moon phase details at 31 August 1984,"366,698.43 km"
33% Visible,Moon phase details at 1 September 1984,"369,915.53 km"
43.86% Visible,Moon phase details at 2 September 1984,"373,908.89 km"
